TYPEID,GROUPID,TYPENAME,MASS,VOLUME,CAPACITY,PORTIONSIZE,RACEID,BASEPRICE,PUBLISHED,MARKETGROUPID,CHANCEOFDUPLICATING
14415,74,Estamel's Modified Dual 250mm Railgun,1500,20,4,1,,200000,1,566,0.07
14417,53,Selynne's Modified Dual Heavy Beam Laser,2000,20,1,1,,600000,1,569,0.07
14419,53,Chelm's Modified Dual Heavy Beam Laser,2000,20,1,1,,600000,1,569,0.07
14421,53,Raysere's Modified Dual Heavy Beam Laser,2000,20,1,1,,600000,1,569,0.07
14423,53,Draclira's Modified Dual Heavy Beam Laser,2000,20,1,1,,600000,1,569,0.07
14425,53,Tairei's Modified Dual Heavy Pulse Laser,2000,20,1,1,,200000,1,573,0.07
14427,53,Ahremen's Modified Dual Heavy Pulse Laser,2000,20,1,1,,200000,1,573,0.07
14429,53,Brokara's Modified Dual Heavy Pulse Laser,2000,20,1,1,,200000,1,573,0.07
14431,53,Vizan's Modified Dual Heavy Pulse Laser,2000,20,1,1,,200000,1,573,0.07
14433,53,Selynne's Modified Mega Beam Laser,2000,20,1,1,,1200000,1,569,0.07
14435,53,Chelm's Modified Mega Beam Laser,2000,20,1,1,,1200000,1,569,0.07
14437,53,Raysere's Modified Mega Beam Laser,2000,20,1,1,,1200000,1,569,0.07
14439,53,Draclira's Modified Mega Beam Laser,2000,20,1,1,,1200000,1,569,0.07
14441,53,Tairei's Modified Mega Pulse Laser,2000,20,1,1,,900000,1,573,0.07
14443,53,Ahremen's Modified Mega Pulse Laser,2000,20,1,1,,900000,1,573,0.07
14445,53,Brokara's Modified Mega Pulse Laser,2000,20,1,1,,900000,1,573,0.07
14447,53,Vizan's Modified Mega Pulse Laser,2000,20,1,1,,900000,1,573,0.07
14449,53,Selynne's Modified Tachyon Beam Laser,2000,20,1,1,,1500000,1,569,0.07
14451,53,Chelm's Modified Tachyon Beam Laser,2000,20,1,1,,1500000,1,569,0.07
14453,53,Raysere's Modified Tachyon Beam Laser,2000,20,1,1,,1500000,1,569,0.07
14455,53,Draclira's Modified Tachyon Beam Laser,2000,20,1,1,,1500000,1,569,0.07
14457,55,Mizuro's Modified 800mm Repeating Cannon,75,20,3,1,,900000,1,576,0.07
14459,55,Gotan's Modified 800mm Repeating Cannon,75,20,3,1,,900000,1,576,0.07
14461,55,Hakim's Modified 1200mm Artillery Cannon,750,20,1,1,,1200000,1,579,0.07
14463,55,Tobias' Modified 1200mm Artillery Cannon,750,20,1,1,,1200000,1,579,0.07
14465,55,Hakim's Modified 1400mm Howitzer Artillery,1500,20,0.5,1,,1500000,1,579,0.07
14467,55,Tobias' Modified 1400mm Howitzer Artillery,1500,20,0.5,1,,1500000,1,579,0.07
14469,55,Mizuro's Modified Dual 425mm AutoCannon,200,20,5,1,,200000,1,576,0.07
14471,55,Gotan's Modified Dual 425mm AutoCannon,200,20,5,1,,200000,1,576,0.07
14473,55,Mizuro's Modified Dual 650mm Repeating Cannon,2000,20,4,1,,600000,1,576,0.07
14475,55,Gotan's Modified Dual 650mm Repeating Cannon,2000,20,4,1,,600000,1,576,0.07
14477,226,Ruined Neon Sign,0,0,0,1,,0,0,,0
14478,671,Caldari Navy Griffin,1600000,19400,160,1,1,0,0,,0.07
14479,665,Imperial Navy Crucifer,1525000,28100,165,1,4,0,0,,0.07
14480,683,Republic Fleet Vigil,1125000,17400,150,1,2,0,0,,0.07
14481,677,Federation Navy Maulus,1400000,23000,175,1,8,0,0,,0
14482,665,Ammatar Navy Inquisitor,1525000,28700,315,1,4,0,0,,0.07
14483,314,Drezins DNA,1,0.1,0,1,,0,1,752,0
14484,46,Mizuro's Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14486,46,Hakim's Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14488,46,Gotan's Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14490,46,Tobias' Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14492,46,Mizuro's Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14494,46,Hakim's Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14496,46,Gotan's Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14498,46,Tobias' Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14500,46,Brynn's Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14502,46,Tuvan's Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14504,46,Setele's Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14506,46,Cormack's Modified 100MN Afterburner,0,5,0,1,,161280,1,542,0.07
14508,46,Brynn's Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14510,46,Tuvan's Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14512,46,Setele's Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14514,46,Cormack's Modified 100MN Microwarpdrive,0,10,0,1,,790940,1,131,0.07
14516,506,Mizuro's Modified Cruise Missile Launcher,0,20,1.45,1,,99996,1,643,0.07
14518,506,Hakim's Modified Cruise Missile Launcher,0,20,1.5,1,,99996,1,643,0.07
14520,506,Gotan's Modified Cruise Missile Launcher,0,20,1.6,1,,99996,1,643,0.07
14522,506,Tobias' Modified Cruise Missile Launcher,0,20,1.65,1,,99996,1,643,0.07
14524,508,Mizuro's Modified Torpedo Launcher,0,20,2.2,1,1,20580,1,644,0.07
14525,508,Hakim's Modified Torpedo Launcher,0,20,2.3,1,1,20580,1,644,0.07
14526,508,Gotan's Modified Torpedo Launcher,0,20,2.4,1,1,20580,1,644,0.07
14527,508,Tobias's Modified Torpedo Launcher,0,20,2.5,1,1,20580,1,644,0.07
14528,367,Hakim's Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14530,367,Mizuro's Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14532,367,Gotan's Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14534,367,Tobias' Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14536,59,Mizuro's Modified Gyrostabilizer,0,5,0,1,,24320,1,646,0.07
14538,59,Hakim's Modified Gyrostabilizer,0,5,0,1,,24320,1,646,0.07
14540,59,Gotan's Modified Gyrostabilizer,0,5,0,1,,24320,1,646,0.07
14542,59,Tobias' Modified Gyrostabilizer,0,5,0,1,,24320,1,646,0.07
14544,72,Mizuro's Modified Large Proton Smartbomb,100,50,0,1,,312496,1,381,0.07
14546,72,Hakim's Modified Large Proton Smartbomb,100,50,0,1,,312496,1,381,0.07
14548,72,Gotan's Modified Large Proton Smartbomb,100,50,0,1,,312496,1,381,0.07
14550,72,Tobias' Modified Large Proton Smartbomb,100,50,0,1,,312496,1,381,0.07
14552,62,Mizuro's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14554,62,Gotan's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14556,98,Mizuro's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14560,98,Gotan's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14564,98,Mizuro's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14568,98,Gotan's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14572,98,Mizuro's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14576,98,Gotan's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14580,98,Mizuro's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14584,98,Gotan's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14588,98,Mizuro's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14592,98,Gotan's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14597,40,Hakim's Modified Large Shield Booster,0,25,0,1,1,72864,1,611,0.07
14599,40,Tobias' Modified Large Shield Booster,0,25,0,1,1,72864,1,611,0.07
14601,40,Hakim's Modified X-Large Shield Booster,0,50,0,1,1,291456,1,612,0.07
14603,40,Tobias' Modified X-Large Shield Booster,0,50,0,1,1,291456,1,612,0.07
14606,295,Hakim's Modified Explosive Deflection Amplifier,0,5,0,1,,18742,1,1690,0.07
14610,295,Tobias' Modified Explosive Deflection Amplifier,0,5,0,1,,18742,1,1690,0.07
14614,295,Hakim's Modified Thermic Dissipation Amplifier,0,5,0,1,,18742,1,1688,0.07
14618,295,Tobias' Modified Thermic Dissipation Amplifier,0,5,0,1,,18742,1,1688,0.07
14622,295,Hakim's Modified Kinetic Deflection Amplifier,0,5,0,1,,18742,1,1689,0.07
14626,295,Tobias' Modified Kinetic Deflection Amplifier,0,5,0,1,,18742,1,1689,0.07
14630,295,Hakim's Modified EM Ward Amplifier,0,5,0,1,,18742,1,1691,0.07
14634,295,Tobias' Modified EM Ward Amplifier,0,5,0,1,,18742,1,1691,0.07
14636,338,Hakim's Modified Shield Boost Amplifier,0,5,0,1,,350000,1,613,0.07
14638,338,Tobias' Modified Shield Boost Amplifier,0,5,0,1,,350000,1,613,0.07
14640,211,Mizuro's Modified Tracking Enhancer,20,5,0,1,,14400,1,707,0.07
14642,211,Hakim's Modified Tracking Enhancer,20,5,0,1,,14400,1,707,0.07
14644,211,Gotan's Modified Tracking Enhancer,20,5,0,1,,14400,1,707,0.07
14646,211,Tobias' Modified Tracking Enhancer,20,5,0,1,,14400,1,707,0.07
14648,65,Mizuro's Modified Stasis Webifier,0,5,0,1,,22488,1,683,0.07
14650,65,Hakim's Modified Stasis Webifier,0,5,0,1,,22488,1,683,0.07
14652,65,Gotan's Modified Stasis Webifier,0,5,0,1,,22488,1,683,0.07
14654,65,Tobias' Modified Stasis Webifier,0,5,0,1,,22488,1,683,0.07
14656,52,Mizuro's Modified Warp Disruptor,0,5,0,1,,39424,1,1935,0.07
14658,52,Hakim's Modified Warp Disruptor,0,5,0,1,,39424,1,1935,0.07
14660,52,Gotan's Modified Warp Disruptor,0,5,0,1,,39424,1,1935,0.07
14662,52,Tobias' Modified Warp Disruptor,0,5,0,1,,39424,1,1935,0.07
14664,52,Mizuro's Modified Warp Scrambler,0,5,0,1,,39424,1,1936,0.07
14666,52,Hakim's Modified Warp Scrambler,0,5,0,1,,39424,1,1936,0.07
14668,52,Gotan's Modified Warp Scrambler,0,5,0,1,,39424,1,1936,0.07
14670,52,Tobias' Modified Warp Scrambler,0,5,0,1,,39424,1,1936,0.07
14672,506,Kaikka's Modified Cruise Missile Launcher,0,20,1.6,1,,99996,1,643,0.07
14674,506,Thon's Modified Cruise Missile Launcher,0,20,1.65,1,,99996,1,643,0.07
14676,506,Vepas' Modified Cruise Missile Launcher,0,20,1.75,1,,99996,1,643,0.07
14678,506,Estamel's Modified Cruise Missile Launcher,0,20,1.8,1,,99996,1,643,0.07
14680,508,Kaikka's Modified Torpedo Launcher,0,20,2.4,1,1,20580,1,644,0.07
14681,508,Thon's Modified Torpedo Launcher,0,20,2.5,1,1,20580,1,644,0.07
14682,508,Vepas's Modified Torpedo Launcher,0,20,2.6,1,1,20580,1,644,0.07
14683,508,Estamel's Modified Torpedo Launcher,0,20,2.7,1,1,20580,1,644,0.07
14684,367,Kaikka's Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14686,367,Thon's Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14688,367,Vepas' Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14690,367,Estamel's Modified Ballistic Control System,1,5,0,1,,24960,1,645,0.07
14692,72,Kaikka's Modified Large Graviton Smartbomb,100,50,0,1,,312496,1,381,0.07
14694,72,Thon's Modified Large Graviton Smartbomb,100,50,0,1,,312496,1,381,0.07
14696,72,Vepas' Modified Large Graviton Smartbomb,100,50,0,1,,312496,1,381,0.07
14698,72,Estamel's Modified Large Graviton Smartbomb,100,50,0,1,,312496,1,381,0.07
14700,40,Kaikka's Modified Large Shield Booster,0,25,0,1,1,72864,1,611,0.07
14701,40,Thon's Modified Large Shield Booster,0,25,0,1,1,72864,1,611,0.07
14702,40,Vepas' Modified Large Shield Booster,0,25,0,1,1,72864,1,611,0.07
14703,40,Estamel's Modified Large Shield Booster,0,25,0,1,1,72864,1,611,0.07
14704,40,Kaikka's Modified X-Large Shield Booster,0,50,0,1,1,291456,1,612,0.07
14705,40,Thon's Modified X-Large Shield Booster,0,50,0,1,1,291456,1,612,0.07
14706,40,Vepas' Modified X-Large Shield Booster,0,50,0,1,1,291456,1,612,0.07
14707,40,Estamel's Modified X-Large Shield Booster,0,50,0,1,1,291456,1,612,0.07
14708,338,Kaikka's Modified Shield Boost Amplifier,0,5,0,1,,350000,1,613,0.07
14710,338,Thon's Modified Shield Boost Amplifier,0,5,0,1,,350000,1,613,0.07
14712,338,Vepas' Modified Shield Boost Amplifier,0,5,0,1,,350000,1,613,0.07
14714,338,Estamel's Modified Shield Boost Amplifier,0,5,0,1,,350000,1,613,0.07
14716,295,Kaikka's Modified Explosive Deflection Amplifier,0,5,0,1,,18742,1,1690,0.07
14718,295,Thon's Modified Explosive Deflection Amplifier,0,5,0,1,,18742,1,1690,0.07
14720,295,Vepas' Modified Explosive Deflection Amplifier,0,5,0,1,,18742,1,1690,0.07
14722,295,Estamel's Modified Explosive Deflection Amplifier,0,5,0,1,,18742,1,1690,0.07
14724,295,Kaikka's Modified Thermic Dissipation Amplifier,0,5,0,1,,18742,1,1688,0.07
14726,295,Thon's Modified Thermic Dissipation Amplifier,0,5,0,1,,18742,1,1688,0.07
14728,295,Vepas' Modified Thermic Dissipation Amplifier,0,5,0,1,,18742,1,1688,0.07
14730,295,Estamel's Modified Thermic Dissipation Amplifier,0,5,0,1,,18742,1,1688,0.07
14732,295,Kaikka's Modified Kinetic Deflection Amplifier,0,5,0,1,,18742,1,1689,0.07
14734,295,Thon's Modified Kinetic Deflection Amplifier,0,5,0,1,,18742,1,1689,0.07
14736,295,Vepas' Modified Kinetic Deflection Amplifier,0,5,0,1,,18742,1,1689,0.07
14738,295,Estamel's Modified Kinetic Deflection Amplifier,0,5,0,1,,18742,1,1689,0.07
14740,295,Kaikka's Modified EM Ward Amplifier,0,5,0,1,,18742,1,1691,0.07
14742,295,Thon's Modified EM Ward Amplifier,0,5,0,1,,18742,1,1691,0.07
14744,295,Vepas' Modified EM Ward Amplifier,0,5,0,1,,18742,1,1691,0.07
14746,295,Estamel's Modified EM Ward Amplifier,0,5,0,1,,18742,1,1691,0.07
14748,77,Kaikka's Modified Kinetic Deflection Field,10000,5,0,1,2,5808,1,1693,0.07
14749,77,Thon's Modified Kinetic Deflection Field,10000,5,0,1,2,5808,1,1693,0.07
14750,77,Vepas's Modified Kinetic Deflection Field,10000,5,0,1,2,5808,1,1693,0.07
14751,77,Estamel's Modified Kinetic Deflection Field,10000,5,0,1,2,5808,1,1693,0.07
14752,77,Kaikka's Modified EM Ward Field,10000,5,0,1,4,45412,1,1695,0.07
14753,77,Thon's Modified EM Ward Field,10000,5,0,1,4,45412,1,1695,0.07
14754,77,Vepas's Modified EM Ward Field,10000,5,0,1,4,45412,1,1695,0.07
14755,77,Estamel's Modified EM Ward Field,10000,5,0,1,4,45412,1,1695,0.07
14756,77,Kaikka's Modified Explosive Deflection Field,10000,5,0,1,1,45412,1,1694,0.07
14757,77,Thon's Modified Explosive Deflection Field,10000,5,0,1,1,45412,1,1694,0.07
14758,77,Vepas's Modified Explosive Deflection Field,10000,5,0,1,1,45412,1,1694,0.07
14759,77,Estamel's Modified Explosive Deflection Field,10000,5,0,1,1,45412,1,1694,0.07
14760,77,Kaikka's Modified Thermic Dissipation Field,10000,5,0,1,8,45412,1,1692,0.07
14761,77,Thon's Modified Thermic Dissipation Field,10000,5,0,1,8,45412,1,1692,0.07
14762,77,Vepas's Modified Thermic Dissipation Field,10000,5,0,1,8,45412,1,1692,0.07
14763,77,Estamel's Modified Thermic Dissipation Field,10000,5,0,1,8,45412,1,1692,0.07
14764,77,Kaikka's Modified Adaptive Invulnerability Field,10000,5,0,1,1,63062,1,1696,0.07
14765,77,Thon's Modified Adaptive Invulnerability Field,10000,5,0,1,1,63062,1,1696,0.07
14766,77,Vepas's Modified Adaptive Invulnerability Field,10000,5,0,1,1,63062,1,1696,0.07
14767,77,Estamel's Modified Adaptive Invulnerability Field,10000,5,0,1,1,63062,1,1696,0.07
14768,285,Kaikka's Modified Co-Processor,0,5,0,1,,14996,1,676,0.07
14770,285,Thon's Modified Co-Processor,0,5,0,1,,14996,1,676,0.07
14772,285,Vepas' Modified Co-Processor,0,5,0,1,,14996,1,676,0.07
14774,285,Estamel's Modified Co-Processor,0,5,0,1,,14996,1,676,0.07
14776,330,Kaikka's Modified Cloaking Device,0,100,0,1,,475000,1,675,0
14778,330,Thon's Modified Cloaking Device,0,100,0,1,,475000,1,675,0
14780,330,Vepas' Modified Cloaking Device,0,100,0,1,,475000,1,675,0
14782,330,Estamel's Modified Cloaking Device,0,100,0,1,,475000,1,675,0
14784,72,Brokara's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14786,72,Tairei's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14788,72,Selynne's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14790,72,Raysere's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14792,72,Vizan's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14794,72,Ahremen's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14796,72,Chelm's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14798,72,Draclira's Modified Large EMP Smartbomb,100,50,0,1,,312496,1,381,0.07
14800,205,Brokara's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14802,205,Tairei's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14804,205,Selynne's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14806,205,Raysere's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14808,205,Vizan's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14810,205,Ahremen's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14812,205,Chelm's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14814,205,Draclira's Modified Heat Sink,1,5,0,1,,24960,1,647,0.07
14816,68,Brokara's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14818,68,Tairei's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14820,68,Selynne's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14822,68,Raysere's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14824,68,Vizan's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14826,68,Ahremen's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14828,68,Chelm's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14830,68,Draclira's Modified Heavy Nosferatu,1000,5,0,1,,987600,1,694,0.07
14832,71,Brokara's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14834,71,Tairei's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14836,71,Selynne's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14838,71,Raysere's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14840,71,Vizan's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14842,71,Ahremen's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14844,71,Chelm's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14846,71,Draclira's Modified Heavy Energy Neutralizer,2000,5,0,1,,499674,1,691,0.07
14848,62,Brokara's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14849,62,Tairei's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14850,62,Selynne's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14851,62,Raysere's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14852,62,Vizan's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14853,62,Ahremen's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14854,62,Chelm's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14855,62,Draclira's Modified Large Armor Repairer,500,50,0,1,4,39996,1,1051,0.07
14856,98,Brokara's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14858,98,Tairei's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14860,98,Selynne's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14862,98,Raysere's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14864,98,Vizan's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14866,98,Ahremen's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14868,98,Chelm's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14870,98,Draclira's Modified Adaptive Nano Plating,1,5,0,1,,7468,1,1670,0.07
14872,98,Brokara's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14874,98,Tairei's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14876,98,Selynne's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14878,98,Raysere's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14880,98,Vizan's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14882,98,Ahremen's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14884,98,Chelm's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14886,98,Draclira's Modified Kinetic Plating,1,5,0,1,,4974,1,1666,0.07
14888,98,Brokara's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14890,98,Tairei's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14892,98,Selynne's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14894,98,Raysere's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14896,98,Vizan's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14898,98,Ahremen's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14900,98,Chelm's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14902,98,Draclira's Modified Explosive Plating,1,5,0,1,,4974,1,1667,0.07
14904,98,Brokara's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14906,98,Tairei's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14908,98,Selynne's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14910,98,Raysere's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14912,98,Vizan's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14914,98,Ahremen's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14916,98,Chelm's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14918,98,Draclira's Modified EM Plating,1,5,0,1,,4974,1,1668,0.07
14920,98,Brokara's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14922,98,Tairei's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14924,98,Selynne's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14926,98,Raysere's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14928,98,Vizan's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14930,98,Ahremen's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14932,98,Chelm's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14934,98,Draclira's Modified Thermic Plating,1,5,0,1,,4974,1,1665,0.07
14936,326,Brokara's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14938,326,Tairei's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14940,326,Selynne's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14942,326,Raysere's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14944,326,Vizan's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14946,326,Ahremen's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14948,326,Chelm's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14950,326,Draclira's Modified Energized Adaptive Nano Membrane,1,5,0,1,,100000,1,1686,0.07
14952,326,Brokara's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14954,326,Tairei's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14956,326,Selynne's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14958,326,Raysere's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14960,326,Vizan's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14962,326,Ahremen's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14964,326,Chelm's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14966,326,Draclira's Modified Energized Thermic Membrane,1,5,0,1,,75000,1,1683,0.07
14968,326,Brokara's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14970,326,Tairei's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14972,326,Selynne's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14974,326,Raysere's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14976,326,Vizan's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14978,326,Ahremen's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14980,326,Chelm's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14982,326,Draclira's Modified Energized EM Membrane,1,5,0,1,,75000,1,1684,0.07
14984,326,Brokara's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
14986,326,Tairei's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
14988,326,Selynne's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
14990,326,Raysere's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
14992,326,Vizan's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
14994,326,Ahremen's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
14996,326,Chelm's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
14998,326,Draclira's Modified Energized Explosive Membrane,1,5,0,1,,75000,1,1682,0.07
15000,326,Brokara's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15002,326,Tairei's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15004,326,Selynne's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15006,326,Raysere's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15008,326,Vizan's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15010,326,Ahremen's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15012,326,Chelm's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15014,326,Draclira's Modified Energized Kinetic Membrane,1,5,0,1,,75000,1,1685,0.07
15016,328,Brokara's Modified Armor EM Hardener,1,5,0,1,,200000,1,1681,0.07
