MARKETGROUPID,PARENTGROUPID,MARKETGROUPNAME,ICONID,HASTYPES
1260,951,Large Hybrid Weapon Rigs,2703,1
1261,952,Small Missile Launcher Rigs,2703,1
1262,952,Medium Missile Launcher Rigs,2703,1
1263,952,Large Missile Launcher Rigs,2703,1
1264,953,Small Projectile Weapon Rigs,2703,1
1265,953,Medium Projectile Weapon Rigs,2703,1
1266,953,Large Projectile Weapon Rigs,2703,1
1267,954,Small Shield Rigs,2703,1
1268,954,Medium Shield Rigs,2703,1
1269,954,Large Shield Rigs,2703,1
1272,477,Sovereignty Structures,3952,0
1273,1272,Territorial Claim Units,3952,1
1274,1272,Sovereignty Blockade Units,3952,1
1275,1272,Infrastructure Hubs,3952,1
1276,1272,Infrastructure Upgrades,3947,0
1282,1276,Strategic Upgrades,3946,1
1283,1276,Industrial Upgrades,3948,1
1284,1276,Military Upgrades,3947,1
1285,477,Starbase Structures,2222,0
1286,314,Citadel Cruise Missiles,2703,1
1287,1316,Standard Citadel Cruise Missiles,183,1
1310,159,Fighter Bombers,1084,1
1313,1530,Fighter Bombers,2703,1
1316,114,Citadel Cruise Missiles,183,0
1317,1316,Faction Citadel Cruise Missiles,183,1
1320,,Planetary Infrastructure,2881,0
1322,1320,Command Centers,2875,1
1323,150,Resource Processing,33,1
1332,533,Planetary Materials,10073,0
1333,1332,Raw Planetary Materials,10012,1
1334,1332,Processed Planetary Materials,10023,1
1335,1332,Refined Planetary Materials,1362,1
1336,1332,Specialized Planetary Materials,10040,1
1337,1332,Advanced Planetary Materials,10074,1
1338,2,Structures,2703,0
1339,1841,Control Towers,2703,1
1340,1841,Assembly Arrays,2703,1
1341,1841,Corporate Hangar Arrays,2703,1
1342,1841,Cynosural Generator Arrays,2703,1
1343,1841,Cynosural System Jammers,2703,1
1344,1534,Electronic Warfare Batteries,2703,1
1345,1534,Energy Neutralization Batteries,2703,1
1346,1841,Jump Bridge,2703,1
1347,1534,Hybrid Batteries,2703,1
1348,1534,Laser Batteries,2703,1
1349,1534,Missile Batteries,2703,1
1350,1534,Projectile Batteries,2703,1
1351,1841,Reactors,2703,1
1352,1841,Moon Harvesting Arrays,2703,1
1353,1841,Reprocessing Arrays,2703,1
1354,1841,Shield Hardening Arrays,2703,1
1355,1841,Silos,2703,1
1356,1338,Sovereignty Structures,2703,1
1358,211,Nanite Repair Paste,2703,1
1359,1841,Laboratories,2703,1
1361,4,Frigates,1443,0
1362,1361,Faction Frigates,1443,0
1364,1361,Advanced Frigates,1443,0
1365,1362,Pirate Faction,1443,1
1366,1362,Navy Faction,1443,1
1367,4,Cruisers,1443,0
1368,1367,Advanced Cruisers,1443,0
1369,1367,Faction Cruisers,1443,0
1370,1369,Navy Faction,1443,1
1371,1369,Pirate Faction,1443,1
1372,4,Destroyers,1443,0
1373,1372,Advanced Destroyers,1443,0
1374,4,Battlecruisers,1443,0
1375,1374,Advanced Battlecruisers,1443,0
1376,4,Battleships,1443,0
1377,1376,Advanced Battleships,1443,0
1378,1376,Faction Battleships,1443,0
1379,1378,Navy Faction,1443,1
1380,1378,Pirate Faction,1443,1
1381,4,Capital Ships,1443,0
1382,4,Industrial Ships,1443,0
1384,4,Mining Barges,1443,0
1385,1382,Advanced Industrial Ships,1443,0
1389,208,ORE,2703,1
1390,8,ORE,1443,1
1392,817,Faction Carrier,1443,1
1396,,Apparel,10256,0
1397,1396,Men's Clothing,10829,0
1398,1397,Tops,10785,1
1399,1397,Outerwear,10236,1
1400,1397,Footwear,10254,1
1401,1397,Bottoms,10756,1
1402,1396,Women's Clothing,10830,0
1403,1402,Bottoms,10570,1
1404,1402,Footwear,10624,1
1405,1402,Outerwear,10234,1
1406,1402,Tops,10684,1
1407,1396,Accessories,10828,0
1408,1407,Eyewear,10224,1
1410,1320,Orbital Infrastructure,2875,1
1416,14,Reactive Armor Hardener,10933,1
1426,657,Target Breaker,10932,1
1427,19,Aurum Tokens,10831,1
1469,531,Armor Implants,2224,0
1470,531,Electronic Systems Implants,2224,0
1471,531,Engineering Implants,2224,0
1472,531,Faction Omega Implants,2224,0
1473,531,Gunnery Implants,2224,0
1474,531,Industry Implants,2224,0
1475,531,Leadership Implants,2224,0
1476,531,Missile Implants,2224,0
1477,531,Navigation Implants,2224,0
1478,531,Science Implants,2224,0
1479,531,Shield Implants,2224,0
1480,1479,Implant Slot 06,2224,1
1481,1479,Implant Slot 07,2224,1
1482,1479,Implant Slot 08,2224,1
1483,1479,Implant Slot 09,2224,1
1484,1478,Implant Slot 06,2224,1
1485,1478,Implant Slot 07,2224,1
1486,1478,Implant Slot 08,2224,1
1489,1477,Implant Slot 06,2224,1
1490,1477,Implant Slot 07,2224,1
1491,1477,Implant Slot 08,2224,1
1492,1477,Implant Slot 09,2224,1
1493,1476,Implant Slot 06,2224,1
1494,1476,Implant Slot 07,2224,1
1495,1476,Implant Slot 08,2224,1
1496,1476,Implant Slot 09,2224,1
1497,1476,Implant Slot 10,2224,1
1498,1473,Implant Slot 06,2224,1
1499,1473,Implant Slot 07,2224,1
1500,1473,Implant Slot 08,2224,1
1501,1473,Implant Slot 09,2224,1
1502,1473,Implant Slot 10,2224,1
1504,1474,Implant Slot 08,2224,1
1505,1475,Implant Slot 10,2224,1
1506,1472,Implant Slot 06,2224,1
1507,1471,Implant Slot 06,2224,1
1508,1471,Implant Slot 07,2224,1
1509,1471,Implant Slot 08,2224,1
1512,1470,Implant Slot 08,2224,1
1513,1470,Implant Slot 09,2224,1
1514,1469,Implant Slot 06,2224,1
1515,1469,Implant Slot 07,2224,1
1516,1469,Implant Slot 08,2224,1
1517,1469,Implant Slot 09,2224,1
1518,1469,Implant Slot 10,2224,1
1520,211,Probes,2703,0
1521,1520,Survey Probes,2703,1
1522,1041,Materials,2703,0
1525,252,Afterburners,2703,1
1526,314,Cruise Missiles,2703,1
1527,314,Heavy Missiles,2703,1
1528,314,Light Missiles,2703,1
1529,1520,Interdiction Probes,2703,1
1530,357,Combat Drones,2703,0
1531,1530,Light Scout Drones,2703,1
1532,1530,Medium Scout Drones,2703,1
1533,1530,Sentry Drones,2703,1
1534,1841,Weapon Batteries,2703,0
1535,1841,Ship Maintenance Arrays,2703,1
1536,214,Armor Repairers,2703,1
1537,214,Hull Repairers,2703,1
1538,214,Remote Hull Repairers,2703,1
1539,214,Remote Armor Repairers,2703,1
1540,214,Armor Hardeners,2703,1
1541,214,Armor Plates,2703,1
1542,214,Damage Controls,2703,1
1543,214,Energized Plating,2703,1
1544,214,Resistance Plating,2703,1
1545,209,Shield,2703,0
1546,209,Engineering Equipment,2703,0
1547,1545,Shield Flux Coils,2703,1
1548,1545,Shield Hardeners,2703,1
1549,1545,Shield Extenders,2703,1
1550,1545,Shield Power Relays,2703,1
1551,1545,Shield Rechargers,2703,1
1552,1545,Shield Boosters,2703,1
1553,1545,Remote Shield Boosters,2703,1
1554,1545,Shield Resistance Amplifiers,2703,1
1555,1546,Capacitor Rechargers,2703,1
1556,1546,Capacitor Flux Coils,2703,1
1557,1546,Capacitor Power Relays,2703,1
1558,1546,Capacitor Batteries,2703,1
1559,1546,Auxiliary Power Controls,2703,1
1560,1546,Power Diagnostic Systems,2703,1
1561,1546,Reactor Control Units,2703,1
1562,1546,Remote Capacitor Transmitters,2703,1
1563,1546,Capacitor Boosters,2703,1
1564,1546,Energy Vampires,2703,1
1565,1546,Energy Destabilizers,2703,1
1566,209,Electronic Warfare,2703,0
1567,1566,Electronic Counter Measures,2703,1
1568,1566,ECM Burst,2703,1
1570,1566,Stasis Webifiers,2703,1
1571,1566,Target Painters,2703,1
1572,1566,Warp Disruption Field Generators,2703,1
1574,1566,Tracking Disruptors,2703,1
1575,1566,ECCM,2703,1
1576,1566,Remote Sensor Dampeners,2703,1
1577,1566,Projected ECCM,2703,1
1578,209,Electronics and Sensor Upgrades,2703,0
1579,1578,Automated Targeting Systems,2703,1
1580,1578,Remote Sensor Boosters,2703,1
1581,1578,Sensor Boosters,2703,1
1582,1578,Passive Targeting Systems,2703,1
1583,1566,Sensor Backup Arrays,2703,1
1584,1578,CPU Upgrades,2703,1
1585,1578,Signal Amplifiers,2703,1
1586,357,Combat Utility Drones,2703,1
1587,1097,Amarr,2703,1
1588,1097,Caldari,2703,1
1589,1097,Gallente,2703,1
1590,1097,Minmatar,2703,1
1591,800,Advanced Components,2703,0
1592,1591,Amarr,2703,1
1593,1591,Caldari,2703,1
1594,1591,Gallente,2703,1
1595,1591,Minmatar,2703,1
1598,99,Orbital Strike,10942,1
1599,101,Orbital Strike,10940,1
1600,100,Orbital Strike,10941,1
1601,300,Orbital Strike,2703,1
1602,301,Orbital Strike,2703,1
1603,299,Orbital Strike,2703,1
1610,1112,Amarr Subsystems,20959,0
1611,1610,Amarr Electronic Subsystems,3626,1
1612,4,Special Edition Ships,1443,0
1613,1612,Special Edition Destroyers,1443,1
1614,1612,Special Edition Industrial Ships,1443,1
1616,5,ORE,1443,1
1617,205,ORE,2703,1
1618,1612,Special Edition Shuttles,1443,1
1619,1612,Special Edition Frigates,1443,1
1620,1612,Special Edition Battleships,1443,1
1621,1612,Special Edition Heavy Assault Cruisers,1443,1
1623,1612,Special Edition Assault Frigates,1443,1
1624,1612,Special Edition Logistics,1443,1
1625,1112,Caldari Subsystems,20966,0
1626,1112,Minmatar Subsystems,20968,0
1627,1112,Gallente Subsystems,20967,0
1628,1627,Gallente Electronic Subsystems,3626,1
1629,1626,Minmatar Electronic Subsystems,3626,1
1630,1625,Caldari Electronic Subsystems,3626,1
1631,391,Faction Shuttles,1443,1
1633,779,Warfare Links,20970,0
1634,1633,Armored Warfare Links,20970,1
1635,1633,Information Warfare Links,20970,1
1636,1633,Siege Warfare Links,20970,1
1637,1633,Skirmish Warfare Links,20970,1
1638,779,Mining Foreman Links,20970,1
1639,779,Command Processors,1444,1
1640,779,Jump Portal Generators,2985,1
1641,779,Cynosural Field Generators,1444,1
1642,779,Clone Vat Bays,34,1
1643,357,Salvage Drones,2703,1
1646,157,Salvage Drones,1084,1
1650,52,Micro Jump Drives,20971,1
1651,379,Secure Containers,16,1
1652,379,Audit Log Containers,16,1
1653,379,Freight Containers,16,1
1657,379,Standard Containers,16,1
1658,379,Station Containers,16,1
1659,,Special Edition Assets,,0
1660,1659,Special Edition Tournament Cards,21065,0
1661,1659,Special Edition Commodities,2231,1
1662,1659,Special Edition Apparel,20977,1
1663,1659,Special Edition Festival Assets,20973,1
1664,1659,Special Edition Blueprints,2703,1
1665,540,Thermal Resistance Plating,1394,1
1666,540,Kinetic Resistance Plating,1393,1
1667,540,Explosive Resistance Plating,1395,1
1668,540,EM Resistance Plating,1396,1
1669,14,Layered Plating,1030,1
1670,540,Adaptive Resistance Plating,1030,1
1671,133,50mm Armor Plate,79,1
1672,133,100mm Armor Plate,79,1
1673,133,200mm Armor Plate,79,1
1674,133,400mm Armor Plate,79,1
1675,133,800mm Armor Plate,79,1
1676,133,1600mm Armor Plate,79,1
1678,535,Thermal Armor Hardeners,1394,1
1679,535,Kinetic Armor Hardeners,1393,1
1680,535,Explosive Armor Hardeners,1395,1
1681,535,EM Armor Hardeners,1396,1
1682,541,Energized Explosive Plating,1395,1
1683,541,Energized Thermal Plating,1394,1
1684,541,Energized EM Plating,1396,1
1685,541,Energized Kinetic Plating,1393,1
1686,541,Energized Adaptive Plating,2066,1
1687,14,Energized Armor Layering,2066,1
1688,550,Thermal Resistance Amplifiers,1394,1
1689,550,Kinetic Resistance Amplifiers,1393,1
1690,550,Explosive Resistance Amplifiers,1395,1
1691,550,EM Resistance Amplifiers,1396,1
1692,553,Thermal Shield Hardeners,1394,1
1693,553,Kinetic Shield Hardeners,1393,1
1694,553,Explosive Shield Hardeners,1395,1
1695,553,EM Shield Hardeners,1396,1
1696,553,Adaptive Shield Hardeners,81,1
1697,252,Micro Jump Drives,2703,1
1698,1612,Special Edition Battlecruisers,1443,1
1699,1612,Special Edition Cruisers,1443,1
1700,19,Security Tags,2040,1
1701,1841,Personal Hangar Arrays,2703,1
1702,1285,Personal Hangar Arrays,2222,1
1703,1374,Faction Battlecruisers,1443,0
1704,1703,Navy Faction,1443,1
1707,1710,Scanning Upgrades,2703,1
1708,9,Scanning Equipment,107,0
1709,1708,Scanning Upgrades,21025,1
1710,209,Scanning Equipment,2703,0
1711,209,Harvest Equipment,2703,0
1712,1711,Salvagers,2703,1
1713,9,Harvest Equipment,1061,0
1715,1713,Salvagers,3240,1
1716,1710,Survey Probe Launchers,2703,1
1717,1708,Survey Probe Launchers,2677,1
1718,1708,Analyzers,2856,1
1719,944,Capital Armor Rigs,2703,1
1720,945,Capital Astronautic Rigs,2703,1
1721,946,Capital Drone Rigs,2703,1
1723,948,Capital Electronics Superiority Rigs,2703,1
1724,949,Capital Engineering Rigs,2703,1
1725,950,Capital Energy Weapon Rigs,2703,1
1726,951,Capital Hybrid Weapon Rigs,2703,1
1727,952,Capital Missile Launcher Rigs,2703,1
1728,953,Capital Projectile Weapon Rigs,2703,1
1729,954,Capital Shield Rigs,2703,1
1730,956,Capital Armor Rigs,3194,1
1731,979,Capital Projectile Weapon Rigs,3201,1
1732,965,Capital Shield Rigs,3193,1
1733,964,Capital Missile Launcher Rigs,3197,1
1734,963,Capital Hybrid Weapon Rigs,3202,1
1735,962,Capital Energy Weapon Rigs,3203,1
1736,961,Capital Engineering Rigs,3195,1
1737,960,Capital Electronics Superiority Rigs,3198,1
1739,958,Capital Drone Rigs,3200,1
1740,957,Capital Astronautic Rigs,3196,1
1745,150,Armor,33,1
1746,150,Neural Enhancement,33,1
1747,150,Shields,33,1
1748,150,Targeting,33,1
1761,531,Targeting Implants,2224,0
1762,531,Resource Processing Implants,2224,0
1763,531,Scanning Implants,2224,0
1764,531,Neural Enhancement Implants,2224,0
1765,1761,Implant Slot 07,2224,1
1766,1761,Implant Slot 08,2224,1
1767,1762,Implant Slot 10,2224,1
1768,1762,Implant Slot 08,2224,1
1769,1762,Implant Slot 07,2224,1
1770,1763,Implant Slot 06,2224,1
1771,1763,Implant Slot 07,2224,1
1772,1763,Implant Slot 08,2224,1
1773,1763,Implant Slot 09,2224,1
1774,1763,Implant Slot 10,2224,1
1775,1764,Implant Slot 08,2224,1
1776,1764,Implant Slot 09,2224,1
1777,1764,Implant Slot 10,2224,1
1779,1111,Resource Processing Rigs,21057,0
1780,1111,Scanning Rigs,21058,0
1781,1111,Targeting Rigs,21059,0
1782,1779,Small Resource Processing Rigs,21057,1
1783,1779,Medium Resource Processing Rigs,21057,1
1784,1779,Large Resource Processing Rigs,21057,1
1785,1779,Capital Resource Processing Rigs,21057,1
1786,1780,Small Scanning Rigs,21058,1
1787,1780,Medium Scanning Rigs,21058,1
1788,1780,Large Scanning Rigs,21058,1
1789,1780,Capital Scanning Rigs,21058,1
1790,1781,Small Targeting Rigs,21059,1
1791,1781,Medium Targeting Rigs,21059,1
1792,1781,Large Targeting Rigs,21059,1
1793,1781,Capital Targeting Rigs,21059,1
1794,943,Resource Processing Rigs,2703,0
1795,943,Scanning Rigs,2703,0
1796,943,Targeting Rigs,2703,0
1797,1794,Capital Resource Processing Rigs,2703,1
1798,1794,Large Resource Processing Rigs,2703,1
1799,1794,Medium Resource Processing Rigs,2703,1
1800,1794,Small Resource Processing Rigs,2703,1
1801,1795,Small Scanning Rigs,2703,1
1802,1795,Medium Scanning Rigs,2703,1
1803,1795,Large Scanning Rigs,2703,1
1804,1795,Capital Scanning Rigs,2703,1
1805,1796,Small Targeting Rigs,2703,1
1806,1796,Medium Targeting Rigs,2703,1
1807,1796,Large Targeting Rigs,2703,1
1808,1796,Capital Targeting Rigs,2703,1
1809,1710,Analyzers,2703,1
1810,1660,Alliance Tournament Cards,21065,0
1811,1660,New Eden Open Cards,20974,0
1812,1810,Alliance Tournament All Star Teams,21065,1
1813,1811,NEO YC 114 Team Cards,20974,1
1814,1659,Special Edition Implants,21047,1
1815,4,Rookie Ships,1443,0
1816,1815,Amarr,20959,1
1817,1815,Caldari,20966,1
1818,1815,Gallente,20967,1
1819,1815,Minmatar,20968,1
1822,1407,Tattoos,21048,1
1823,150,Planet Management,33,1
1824,150,Subsystems,33,1
1827,140,Rapid Heavy Missile Launchers,21074,1
1828,406,Mobile Depots,2703,1
1829,406,Mobile Cynosural Inhibitors,2703,1
1830,406,Mobile Tractor Units,2703,1
1831,404,Mobile Depots,16,1
1832,404,Mobile Cynosural Inhibitors,16,1
1833,404,Mobile Tractor Units,16,1
1834,406,Mobile Siphon Units,2703,1
1835,404,Mobile Siphon Units,16,1
1836,1407,Prosthetics,21078,1
1837,1612,Special Edition Recon Ships,1443,1
1838,1612,Special Edition Covert Ops,1443,1
1840,19,Covert Research Tools,2039,1
1841,1338,Starbase Structures,2703,0
1842,406,Mobile Micro Jump Units,2703,1
1843,406,Mobile Scan Inhibitors,2703,1
1844,404,Mobile Micro Jump Units,16,1
1845,404,Mobile Scan Inhibitors,16,1
1846,19,Bounty Reimbursement Tags,21096,1
1847,404,Encounter Surveillance Systems,16,1
1849,,Reactions,2665,0
1850,1849,Simple Reactions,2665,1
1851,1849,Complex Reactions,2665,1
1852,1849,Simple Biochemical Reactions,2665,1
1853,1849,Complex Biochemical Reactions,2665,1
1854,1849,Polymer Reactions,2665,1
1855,1031,Ice Ore,2554,1
1856,1031,Alloys & Compounds,2215,1
1857,533,Minerals,404,1
1858,1034,Booster Materials,2664,1
1859,1032,Fullerenes,3222,1
1860,1034,Polymer Materials,3751,1
1861,533,Salvage Materials,3256,0
1862,1861,Ancient Salvaged Materials,3722,1
1863,1861,Salvaged Materials,3260,1
1864,1021,Construction Platforms,3303,1
1865,1021,Station Components,2875,1
1866,1022,Amarr Improvement Platforms,20959,1
1867,1022,Caldari Improvement Platforms,20966,1
1868,1022,Gallente Improvement Platforms,20967,1
1869,1022,Minmatar Improvement Platforms,20968,1
1870,1035,Fuel Blocks,10835,1
1872,475,Research Equipment,2225,0
1873,1872,Decryptors,2885,1
1880,1872,Datacores,3233,1
1883,1035,Advanced Capital Components,2193,0
1884,1883,Amarr,20959,1
1885,1883,Caldari,20966,1
1886,1883,Gallente,20967,1
1887,1883,Minmatar,20968,1
1888,65,Gallente,20967,1
1889,65,Minmatar,20968,1
1897,533,Faction Materials,2890,0
1898,1897,Angel Cartel,2887,1
1899,1897,Blood Raiders,2890,1
1900,1897,Guristas,2888,1
1901,1897,Serpentis,2890,1
1902,1897,Sleeper,2889,1
1903,1897,Talocan,2886,1
1904,1897,Yan Jung,2890,1
1905,1897,Takmahl,2886,1
1906,1897,Rogue Drones,3335,1
1907,1872,R.Db,2225,1
1908,1035,R.A.M.,2226,1
1909,1872,Ancient Relics,3736,1
1912,798,Construction Platforms,2703,1
1913,798,Station Components,2703,1
1918,800,R.A.M.,2703,1
1919,1522,R.Db,2703,1
1920,800,Fuel Blocks,2703,1
1921,1285,Compression Array,2222,1
1922,,Pilot's Services,3001,0
1923,1922,Pilot's License Extensions (PLEX),3001,1
1924,1364,Expedition Frigates,1443,1
1931,132,Warp Accelerators,98,1
1932,1612,Special Edition Interceptors,1443,1
1935,657,Warp Disruptors,111,1
1936,657,Warp Scramblers,111,1
1937,657,Interdiction Sphere Launchers,111,1
1938,1566,Warp Disruptors,2703,1
1939,1566,Warp Scramblers,2703,1
1940,1566,Interdiction Sphere Launchers,2703,1
1941,132,Jump Economizers,98,1
1942,1922,Pilot's Services,21335,1
1943,1407,Hairstyles,21204,1
1944,1402,"Bottoms, extras",21275,1
1945,1841,Compression Array,2703,1
1949,787,ORE,,1
1950,766,ORE,,1
1951,1373,Tactical Destroyers,,0
1952,1951,Amarr,20959,1
350001,,Infantry Gear,10847,0
353557,353567,Grenades,,0
353562,350001,Dropsuits and Gear,,0
353563,353562,Dropsuit Equipment,,0
353565,353566,Vehicle Turrets,,0
353566,350001,Vehicles and Gear,,0
353567,353562,Dropsuit Weapons,,0
353568,364049,Forge Guns,,0
353569,364047,Assault Rifles,,0
353570,364047,Sniper Rifles,,0
353571,364047,Swarm Launchers,,0
353572,364048,Submachine Guns,,0
353573,364048,Scrambler Pistols,,0
353574,353563,Nanohives,,0
353575,353563,Drop Uplinks,,0
353576,353563,Repair Tools,,0
353579,353562,Dropsuit Modules,,0
353580,353566,Vehicle Modules,,0
353581,353579,Shield,,0
353582,353579,Armor,,0
353583,353579,Biotics,,0
353584,353579,Electronics,,0
353585,353579,Engineering,,0
353586,353579,Weapon Upgrades,,0
353587,353580,Shield,,0
353588,353580,Armor,,0
353589,353580,Electronics,,0
353590,353580,Engineering,,0
353591,353580,Propulsion,,0
353592,353580,Turret Upgrades,,0
353600,364044,Scout,,0
353601,364045,Assault,,0
353602,364045,Logistics,,0
353604,364046,Sentinel,,0
353605,353565,Railgun,,0
353608,353565,Missile,,0
353613,353605,Small,,0
353633,350001,Skills,,0
353651,353566,Heavy Attack Vehicles,,0
353652,353566,Light Attack Vehicles,,0
353653,353566,Dropships,,0
353657,353651,Standard,,1
353663,353651,Marauder,,1
353664,353652,Standard,,1
353669,353652,Logistics,,1
353671,353653,Standard,,1
353676,353653,Logistics,,1
353681,353633,Weaponry,,0
353684,353681,Weapons,,1
353706,353633,Dropsuit Command,,0
353707,353706,Dropsuit Command,,1
353708,365496,Dropsuit Upgrades,,1
353710,353633,Vehicle Command,,0
353711,353710,Vehicle Command,,1
353713,353633,Turret Operation,,0
353715,353713,Turret Operation,,1
353716,353713,Turret Upgrades,,1
354331,353569,Standard,,1
354332,353569,Advanced,,1
354333,353569,Prototype,,1
354335,353568,Standard,,1
354336,353568,Advanced,,1
354337,353568,Prototype,,1
354338,353557,Locus Grenades,,0
354339,353557,Anti-Vehicle Grenades,,0
354340,353557,Flux Grenades,,0
354343,353573,Standard,,1
354344,353573,Advanced,,1
354345,353573,Prototype,,1
354347,353570,Standard,,1
354348,353570,Advanced,,1
354350,353570,Prototype,,1
354352,353572,Standard,,1
354353,353572,Advanced,,1
354354,353572,Prototype,,1
354364,353571,Standard,,1
354366,353571,Advanced,,1
354367,353571,Prototype,,1
354376,353601,Standard,,1
354377,353601,Advanced,,1
354378,353601,Prototype,,1
354380,353604,Standard,,1
354381,353604,Advanced,,1
354382,353604,Prototype,,1
354384,353602,Standard,,1
354385,353602,Advanced,,1
354386,353602,Prototype,,1
354388,353600,Standard,,1
354389,353600,Advanced,,1
354390,353600,Prototype,,1
354403,353575,Standard,,1
354404,353575,Advanced,,1
354405,353575,Prototype,,1
354410,353574,Standard,,1
354411,353574,Advanced,,1
354412,353574,Prototype,,1
354414,353576,Standard,,1
354415,353576,Advanced,,1
354416,353576,Prototype,,1
354423,353582,Armor Plates,,0
354424,353582,Armor Repairers,,0
354425,353583,Endurance Modifiers,,1
354427,353583,Speed Modifiers,,1
354429,353583,Melee Upgrades,,1
354430,353584,CPU Upgrades,,1
354431,353585,PG Upgrades,,1
354432,353581,Shield Extenders,,0
354433,353581,Shield Rechargers,,0
354434,353586,Damage Amplifiers,,1
354444,353588,Armor Plates,,0
354448,353588,Armor Repairers,,0
354453,353589,CPU Upgrades,,1
354454,353590,Damage Control Systems,,1
354455,353590,Mobile CRUs,,1
354458,353590,Power Grid Upgrades,,1
354459,353590,Power Diagnostic Systems,,1
354460,353591,Afterburners (Aerial),,1
354461,353591,Boosts (Ground),,1
354469,353592,Damage Amplifiers,,0
354471,353587,Shield Boosters,,0
354478,353565,Blaster,,0
354483,353605,Large,,0
354488,354478,Small,,0
354489,354478,Large,,0
354490,353608,Small,,0
354491,353608,Large,,0
354534,350001,Boosters,,0
354542,354534,Passive Boosters,,1
354543,354534,Active Boosters,,1
354563,364049,Heavy Machine Guns,,0
354565,354563,Standard,,1
354566,354563,Advanced,,1
354567,354563,Prototype,,1
354616,364047,Mass Drivers,,0
354618,354616,Standard,,1
354619,354616,Advanced,,1
354620,354616,Prototype,,1
354671,353584,Scan Enhancers,,1
354686,364047,Laser Rifles,,0
354690,354686,Standard,,1
354691,354686,Advanced,,1
354692,354686,Prototype,,1
354693,364047,Shotguns,,0
354696,354693,Standard,,1
354697,354693,Advanced,,1
354698,354693,Prototype,,1
355181,353563,Remote Explosives,,0
355187,355181,Standard,,1
355188,355181,Advanced,,1
355189,355181,Prototype,,1
355193,353563,Nanite Injectors,,0
355194,355193,Standard,,1
355195,355193,Advanced,,1
355196,355193,Prototype,,1
355449,350001,Militia Gear,,0
355457,355449,Dropsuits,,0
355458,355449,Equipment,,0
355459,355449,Modules,,0
355460,355449,Turrets,,0
355461,355449,Vehicles,,0
355462,355449,Weapons,,0
355463,355462,Weapons & Grenades,,1
355464,355461,Vehicles,,1
355465,355460,Turrets,,1
355466,355459,Dropsuit Modules,,1
355467,355459,Vehicle Modules,,1
355468,355458,Equipment,,1
355469,355457,Dropsuits,,1
355572,353584,Data Miners,,1
355590,353581,Shield Regulators,,0
356433,364048,Nova Knives,,0
356434,356433,Standard,,1
356435,356433,Advanced,,1
356436,356433,Prototype,,1
356575,354469,Hybrid Damage Amplifiers,,0
356576,354469,Missile Damage Amplifiers,,0
356579,356575,Blaster Damage Amplifiers,,1
356580,356575,Systemic Hybrid Damage,,1
356581,356575,Railgun Damage Amplifiers,,1
356582,356576,Systemic Missile Damage,,1
356583,356576,Large Missile Damage,,1
356584,356576,Missile Damage Amplifiers,,1
356597,353587,Shield Hardeners,,0
356916,353589,Scanners,,1
356960,354491,Standard,,1
356961,354491,Advanced,,1
356962,354491,Prototype,,1
356963,354490,Standard,,1
356964,354490,Advanced,,1
356965,354490,Prototype,,1
356968,354488,Standard,,1
356969,354488,Advanced,,1
356970,354488,Prototype,,1
356971,354489,Standard,,1
356972,354489,Advanced,,1
356973,354489,Prototype,,1
356976,354483,Standard,,1
356977,354483,Advanced,,1
356978,354483,Prototype,,1
356979,353613,Standard,,1
356980,353613,Advanced,,1
356981,353613,Prototype,,1
357120,357121,Armor Hardeners,,1
357121,353588,Armor Hardeners,,0
363304,354444,180mm Armor Plates,,1
363305,354444,120mm Armor Plates,,1
363306,354444,60mm Armor Plates,,1
363440,354448,Light,,1
363441,354448,Heavy,,1
363442,353587,Shield Extenders,,0
363448,354471,Light,,1
363449,354471,Heavy,,1
363452,356597,Shield Hardeners,,1
363456,363442,Heavy,,1
363457,363442,Light,,1
363464,354338,Standard,,1
363465,354338,Advanced,,1
363466,354338,Prototype,,1
363467,354339,Standard,,1
363468,354339,Advanced,,1
363469,354339,Prototype,,1
363470,354340,Standard,,1
363471,354340,Advanced,,1
363472,354340,Prototype,,1
363475,353633,Corporations,,0
363476,363475,Corporation Management,,1
363790,364048,Flaylock Pistols,,0
363791,363790,Standard,,1
363792,363790,Advanced,,1
363793,363790,Prototype,,1
364044,353562,Light,,0
364045,353562,Medium,,0
364046,353562,Heavy,,0
364047,353567,Light,,0
364048,353567,Sidearm,,0
364049,353567,Heavy,,0
364051,364047,Scrambler Rifles,,0
364052,364051,Standard,,1
364053,364051,Advanced,,1
364054,364051,Prototype,,1
364055,364047,Plasma Cannons,,0
364056,364055,Standard,,1
364057,364055,Advanced,,1
364058,364055,Prototype,,1
364491,353563,Active Scanners,,0
364492,364491,Standard,,1
364493,364491,Advanced,,1
364494,364491,Prototype,,1
364760,353651,Enforcer,,1
364765,353652,Scout,,1
364768,353653,Assault,,1
364885,364044,Basic,,0
364886,364885,Standard,,1
364887,364885,Advanced,,1
364888,364885,Prototype,,1
364889,364045,Basic,,0
364890,364889,Standard,,1
364891,364889,Advanced,,1
364892,364889,Prototype,,1
364893,364046,Basic,,0
364894,364893,Standard,,1
364895,364893,Advanced,,1
364896,364893,Prototype,,1
365001,365497,Vehicle Upgrades,,1
365244,354423,Armor Plates,,1
365245,354423,Ferroscale Plates,,1
365246,354423,Reactive Plates,,1
365247,354424,Armor Repairers,,1
365248,354432,Shield Extenders,,1
